,Weight,Spearman,5nn,10nn,3nn
0,10,0.9748639855942378,0.5920000000000001,0.444,0.72
1,7,0.9411588235294116,0.5960000000000001,0.452,0.6733333333333335
2,5,0.9554177671068428,0.544,0.37200000000000005,0.6333333333333333
3,3,0.9338097238895557,0.56,0.396,0.6399999999999999
4,1,0.9488510970345584,0.532,0.34199999999999997,0.68
5,0,0.943733613445378,0.5,0.32800000000000007,0.6466666666666666
24,10,0.9609085455742615,0.6080000000000001,0.47600000000000003,0.74
25,7,0.9781824956493719,0.556,0.45000000000000007,0.6533333333333333
26,5,0.9687795321280465,0.564,0.4159999999999999,0.6
27,3,0.9603422535591981,0.6680000000000001,0.494,0.7666666666666666
28,1,0.961338339762958,0.576,0.384,0.6866666666666665
29,0,0.9356507912575295,0.504,0.368,0.66
30,10,0.972679,0.680,0.516,0.806667
31,7,0.969912,0.600,0.472,0.646667
32,5,0.972594,0.584,0.440,0.626667
33,3,0.960988,0.680,0.492,0.773333
34,1,0.951731,0.568,0.418,0.666667
35,0,0.943201,0.528,0.350,0.660000
